year,category,explanation,n,percentage,classification
2022,ELBW,Included in analysis,476,2.619846992129451,Birthweight
2022,VLBW,Included in analysis,638,3.5114755902911554,Birthweight
2022,LBW,Included in analysis,3396,18.691177279982387,Birthweight
2022,NBW,Included in analysis,13364,73.55385546810501,Birthweight
2022,HBW,Included in analysis,295,1.623644669491992,Birthweight
2022,Total,All deliveries considered,18169,100,Birthweight
2023,ELBW,Included in analysis,356,2.122458713408454,Birthweight
2023,VLBW,Included in analysis,538,3.2075359208251357,Birthweight
2023,LBW,Included in analysis,2365,14.100041733738747,Birthweight
2023,NBW,Included in analysis,13182,78.59059202289393,Birthweight
2023,HBW,Included in analysis,332,1.9793716091337268,Birthweight
2023,Total,All deliveries considered,16773,100,Birthweight
2024,ELBW,Included in analysis,287,2.089095938273402,Birthweight
2024,VLBW,Included in analysis,366,2.6641432522929103,Birthweight
2024,LBW,Included in analysis,1862,13.553646819042072,Birthweight
2024,NBW,Included in analysis,10968,79.83694860969574,Birthweight
2024,HBW,Included in analysis,255,1.85616538069588,Birthweight
2024,Total,All deliveries considered,13738,100,Birthweight
2025,ELBW,Included in analysis,473,1.8803418803418803,Birthweight
2025,VLBW,Included in analysis,659,2.6197575034784335,Birthweight
2025,LBW,Included in analysis,3560,14.152256012721129,Birthweight
2025,NBW,Included in analysis,20018,79.57861260186841,Birthweight
2025,HBW,Included in analysis,445,1.769032001590141,Birthweight
2025,Total,All deliveries considered,25155,100,Birthweight
2022,Term-AGA,Included in analysis,9224,50.76779129286146,SGA
2022,Term-SGA,Included in analysis,4865,26.77637734602895,SGA
2022,Preterm-AGA,Included in analysis,3038,16.720788155649732,SGA
2022,Preterm-SGA,Included in analysis,1042,5.735043205459849,SGA
2022,Total,All deliveries considered,18169,100,SGA
2023,Term-AGA,Included in analysis,9687,57.75353246288678,SGA
2023,Term-SGA,Included in analysis,3797,22.63757228879747,SGA
2023,Preterm-AGA,Included in analysis,2473,14.74393370297502,SGA
2023,Preterm-SGA,Included in analysis,816,4.8649615453407264,SGA
2023,Total,All deliveries considered,16773,100,SGA
2024,Term-AGA,Included in analysis,7958,57.92691803756005,SGA
2024,Term-SGA,Included in analysis,3188,23.20570679866065,SGA
2024,Preterm-AGA,Included in analysis,2004,14.587276168292329,SGA
2024,Preterm-SGA,Included in analysis,588,4.28009899548697,SGA
2024,Total,All deliveries considered,13738,100,SGA
2025,Term-AGA,Included in analysis,14214,56.5056648777579,SGA
2025,Term-SGA,Included in analysis,6393,25.414430530709602,SGA
2025,Preterm-AGA,Included in analysis,3513,13.965414430530709,SGA
2025,Preterm-SGA,Included in analysis,1035,4.114490161001789,SGA
2025,Total,All deliveries considered,25155,100,SGA
