facility,Term-AGA_NND,Term-AGA_DC,Term-SGA_NND,Term-SGA_DC,Preterm-AGA_NND,Preterm-AGA_DC,Preterm-SGA_NND,Preterm-SGA_DC,Discarded_NND,Discarded_DC,Missing BW_NND,Missing BW_DC,Missing GA_NND,Missing GA_DC,Missing both BW and GA_NND,Missing both BW and GA_DC,Total_NND,Total_DC,classification
KCH,25.18,26.41,25.62,25.87,25.35,25.93,25.63,25.93,NA,NA,23.24,24.78,23.62,26.41,NA,NA,25.36,26.1,SGA
SMCH,25.56,26.88,24.64,25.76,25.43,26.39,26.15,26.9,NA,NA,25.36,27.82,26.3,25.83,38,28.5,25.5,26.51,SGA
