facility,ELBW_NND,ELBW_DC,VLBW_NND,VLBW_DC,LBW_NND,LBW_DC,NBW_NND,NBW_DC,HBW_NND,HBW_DC,Discarded_NND,Discarded_DC,Missing BW_NND,Missing BW_DC,Missing GA_NND,Missing GA_DC,Missing both BW and GA_NND,Missing both BW and GA_DC,Total_NND,Total_DC,classification
KCH,25.8,26.76,25.6,25.96,25.23,25.91,25.07,26.17,28.08,29.02,23.24,24.78,NA,NA,NA,NA,NA,NA,25.36,26.1,Birthweight
SMCH,25.89,27.37,25.78,26.73,25.23,26.37,25.24,26.33,30.67,29.22,26.42,27.84,NA,NA,NA,NA,NA,NA,25.5,26.51,Birthweight
