facility,category,explanation,n,percentage,classification
KCH,ELBW,Included in analysis,166,1.7120462046204619,Birthweight
KCH,VLBW,Included in analysis,607,6.260313531353136,Birthweight
KCH,LBW,Included in analysis,1681,17.337046204620464,Birthweight
KCH,NBW,Included in analysis,3179,32.786716171617165,Birthweight
KCH,HBW,Included in analysis,135,1.3923267326732673,Birthweight
KCH,Discarded,Missing or invalid birth weight,3928,40.51155115511551,Birthweight
KCH,Total,All deliveries considered,9696,100,Birthweight
SMCH,ELBW,Included in analysis,1623,2.3878181550684126,Birthweight
SMCH,VLBW,Included in analysis,1459,2.1465352361335883,Birthweight
SMCH,LBW,Included in analysis,9064,13.33529498308077,Birthweight
SMCH,NBW,Included in analysis,54373,79.99558628806827,Birthweight
SMCH,HBW,Included in analysis,1230,1.8096218920111813,Birthweight
SMCH,Discarded,Missing or invalid birth weight,221,0.32514344563778136,Birthweight
SMCH,Total,All deliveries considered,67970,100,Birthweight
KCH,Term-AGA,Included in analysis,1943,20.039191419141915,SGA
KCH,Term-SGA,Included in analysis,581,5.992161716171617,SGA
KCH,Preterm-AGA,Included in analysis,1876,19.348184818481847,SGA
KCH,Preterm-SGA,Included in analysis,440,4.537953795379538,SGA
KCH,Missing BW,Missing BW,2759,28.45503300330033,SGA
KCH,Missing GA,Missing GA,928,9.570957095709572,SGA
KCH,Missing both BW and GA,Missing both BW and GA,1169,12.056518151815181,SGA
KCH,Total,All deliveries considered,9696,100,SGA
SMCH,Term-AGA,Included in analysis,38048,55.977637192879214,SGA
SMCH,Term-SGA,Included in analysis,17348,25.52302486391055,SGA
SMCH,Preterm-AGA,Included in analysis,8259,12.150948948065322,SGA
SMCH,Preterm-SGA,Included in analysis,2881,4.238634691775784,SGA
SMCH,Missing BW,Missing BW,169,0.24863910548771515,SGA
SMCH,Missing GA,Missing GA,1213,1.784610857731352,SGA
SMCH,Missing both BW and GA,Missing both BW and GA,52,0.0765043401500662,SGA
SMCH,Total,All deliveries considered,67970,100,SGA
