category,explanation,n,percentage,classification
ELBW,Included in analysis,1789,2.3034532485257384,Birthweight
VLBW,Included in analysis,2066,2.6601086704606907,Birthweight
LBW,Included in analysis,10745,13.834882702855818,Birthweight
NBW,Included in analysis,57552,74.101923621662,Birthweight
HBW,Included in analysis,1365,1.7575258156722375,Birthweight
Discarded,Missing or invalid birth weight,4149,5.342105940823527,Birthweight
Total,All deliveries considered,77666,100,Birthweight
Term-AGA,Included in analysis,39991,51.49099992274612,SGA
Term-SGA,Included in analysis,17929,23.084747508562305,SGA
Preterm-AGA,Included in analysis,10135,13.049468235778846,SGA
Preterm-SGA,Included in analysis,3321,4.276002369119048,SGA
Missing BW,Missing BW,2928,3.769989441969459,SGA
Missing GA,Missing GA,2141,2.7566760229701543,SGA
Missing both BW and GA,Missing both BW and GA,1221,1.5721164988540677,SGA
Total,All deliveries considered,77666,100,SGA
