facility,year,category,explanation,n,percentage,classification
KCH,2025,Term-AGA,Included in analysis,5,0.21222410865874364,SGA
KCH,2025,Term-SGA,Included in analysis,2,0.08488964346349745,SGA
KCH,2025,Preterm-AGA,Included in analysis,3,0.1273344651952462,SGA
KCH,2025,Preterm-SGA,Included in analysis,2,0.08488964346349745,SGA
KCH,2025,Missing BW,Missing BW,2284,96.9439728353141,SGA
KCH,2025,Missing GA,Missing GA,3,0.1273344651952462,SGA
KCH,2025,Missing both BW and GA,Missing both BW and GA,57,2.4193548387096775,SGA
KCH,2025,Total,All deliveries considered,2356,100,SGA
SMCH,2022,Term-AGA,Included in analysis,8541,51.21424716675661,SGA
SMCH,2022,Term-SGA,Included in analysis,4639,27.81675361276009,SGA
SMCH,2022,Preterm-AGA,Included in analysis,2291,13.737482760688374,SGA
SMCH,2022,Preterm-SGA,Included in analysis,851,5.102836241530252,SGA
SMCH,2022,Missing BW,Missing BW,29,0.17389218684415664,SGA
SMCH,2022,Missing GA,Missing GA,312,1.8708400791509265,SGA
SMCH,2022,Missing both BW and GA,Missing both BW and GA,14,0.08394795226959285,SGA
SMCH,2022,Total,All deliveries considered,16677,100,SGA
SMCH,2023,Term-AGA,Included in analysis,8946,58.31432110031941,SGA
SMCH,2023,Term-SGA,Included in analysis,3580,23.336158007952545,SGA
SMCH,2023,Preterm-AGA,Included in analysis,1813,11.818004041457533,SGA
SMCH,2023,Preterm-SGA,Included in analysis,663,4.321752167394564,SGA
SMCH,2023,Missing BW,Missing BW,26,0.169480477152728,SGA
SMCH,2023,Missing GA,Missing GA,305,1.988136366599309,SGA
SMCH,2023,Missing both BW and GA,Missing both BW and GA,8,0.0521478391239163,SGA
SMCH,2023,Total,All deliveries considered,15341,100,SGA
SMCH,2024,Term-AGA,Included in analysis,7351,58.62041467304625,SGA
SMCH,2024,Term-SGA,Included in analysis,3023,24.10685805422648,SGA
SMCH,2024,Preterm-AGA,Included in analysis,1454,11.594896331738438,SGA
SMCH,2024,Preterm-SGA,Included in analysis,475,3.787878787878788,SGA
SMCH,2024,Missing BW,Missing BW,26,0.2073365231259968,SGA
SMCH,2024,Missing GA,Missing GA,203,1.6188197767145136,SGA
SMCH,2024,Missing both BW and GA,Missing both BW and GA,8,0.06379585326953748,SGA
SMCH,2024,Total,All deliveries considered,12540,100,SGA
SMCH,2025,Term-AGA,Included in analysis,13210,56.42405603963779,SGA
SMCH,2025,Term-SGA,Included in analysis,6106,26.080642405603964,SGA
SMCH,2025,Preterm-AGA,Included in analysis,2701,11.536818725439947,SGA
SMCH,2025,Preterm-SGA,Included in analysis,892,3.8100119596787976,SGA
SMCH,2025,Missing BW,Missing BW,88,0.3758756193405091,SGA
SMCH,2025,Missing GA,Missing GA,393,1.6786263454638646,SGA
SMCH,2025,Missing both BW and GA,Missing both BW and GA,22,0.09396890483512728,SGA
SMCH,2025,Total,All deliveries considered,23412,100,SGA
