year,category,explanation,n,percentage,classification
2022,ELBW,Included in analysis,10,24.390243902439025,Birthweight
2022,VLBW,Included in analysis,1,2.4390243902439024,Birthweight
2022,LBW,Included in analysis,6,14.634146341463413,Birthweight
2022,NBW,Included in analysis,24,58.536585365853654,Birthweight
2022,Total,All deliveries considered,41,100,Birthweight
2023,ELBW,Included in analysis,12,12.5,Birthweight
2023,VLBW,Included in analysis,4,4.166666666666666,Birthweight
2023,LBW,Included in analysis,13,13.541666666666666,Birthweight
2023,NBW,Included in analysis,65,67.70833333333334,Birthweight
2023,HBW,Included in analysis,2,2.083333333333333,Birthweight
2023,Total,All deliveries considered,96,100,Birthweight
2024,ELBW,Included in analysis,10,15.625,Birthweight
2024,VLBW,Included in analysis,2,3.125,Birthweight
2024,LBW,Included in analysis,7,10.9375,Birthweight
2024,NBW,Included in analysis,44,68.75,Birthweight
2024,HBW,Included in analysis,1,1.5625,Birthweight
2024,Total,All deliveries considered,64,100,Birthweight
2025,ELBW,Included in analysis,19,12.179487179487179,Birthweight
2025,VLBW,Included in analysis,4,2.564102564102564,Birthweight
2025,LBW,Included in analysis,25,16.025641025641026,Birthweight
2025,NBW,Included in analysis,106,67.94871794871796,Birthweight
2025,HBW,Included in analysis,2,1.282051282051282,Birthweight
2025,Total,All deliveries considered,156,100,Birthweight
2022,Term-AGA,Included in analysis,16,39.02439024390244,SGA
2022,Term-SGA,Included in analysis,15,36.58536585365854,SGA
2022,Preterm-AGA,Included in analysis,6,14.634146341463413,SGA
2022,Preterm-SGA,Included in analysis,4,9.75609756097561,SGA
2022,Total,All deliveries considered,41,100,SGA
2023,Term-AGA,Included in analysis,49,51.041666666666664,SGA
2023,Term-SGA,Included in analysis,22,22.916666666666664,SGA
2023,Preterm-AGA,Included in analysis,14,14.583333333333334,SGA
2023,Preterm-SGA,Included in analysis,11,11.458333333333332,SGA
2023,Total,All deliveries considered,96,100,SGA
2024,Term-AGA,Included in analysis,33,51.5625,SGA
2024,Term-SGA,Included in analysis,18,28.125,SGA
2024,Preterm-AGA,Included in analysis,5,7.8125,SGA
2024,Preterm-SGA,Included in analysis,8,12.5,SGA
2024,Total,All deliveries considered,64,100,SGA
2025,Term-AGA,Included in analysis,69,44.230769230769226,SGA
2025,Term-SGA,Included in analysis,40,25.64102564102564,SGA
2025,Preterm-AGA,Included in analysis,27,17.307692307692307,SGA
2025,Preterm-SGA,Included in analysis,20,12.82051282051282,SGA
2025,Total,All deliveries considered,156,100,SGA
