facility,n_working_sample,n_inborn,n_inorout_known,pct_inborn_of_known,pct_inborn_of_total,n_inorout_unknown,n_age_valid,mean_age_hours,median_age_hours,sd_age_hours,n_age_missing,n_age_capped,n_gender_known,n_female,pct_female_of_known,pct_female_of_total,n_gender_missing,n_tested,n_hiv_positive,pct_hiv_pos_of_tested,pct_hiv_pos_of_total,n_hiv_not_tested,n_hiv_test_missing,n_svn,external_total_admissions,external_matched_pairs,external_unmatched,pct_svn_of_working_sample,pct_svn_of_external_total,pct_svn_of_external_matched
KCH,10422,4876,10422,46.8,46.8,0,10272,98.6,13,168.4,41,109,10422,5029,48.3,48.3,0,4849,312,6.4,3,1276,4297,10422,11797,10575,1222,100,88.3,98.6
SMCH,19924,15984,19923,80.2,80.2,1,19523,12,3,36,383,18,19924,8972,45,45,0,17916,1731,9.7,8.7,2004,4,19924,22826,20541,2285,100,87.3,97
