facility,row_total_admissions,row_inborn,row_inborn_note,row_mean_age,row_age_note,row_female,row_female_note,row_hiv_pos,row_hiv_note,row_svn,row_svn_note
KCH,10422,4876 (46.8%),4876 inborn of 10422 with known status (0 unknown/missing),98.6 hours (median: 13.0 h),n valid = 10272; n missing/NA = 41; n excluded (>672 h) = 109,5029 (48.3%),5029 female of 10422 with known sex (0 missing),6.4% of those tested; 3.0% of all admissions,312 reactive of 4849 tested (not tested: 1276; missing: 4297),10422 (100.0% of working sample; 88.3% of total external admissions),External total: 11797 (matched: 10575 + unmatched: 1222)
SMCH,19924,15984 (80.2%),15984 inborn of 19923 with known status (1 unknown/missing),12.0 hours (median: 3.0 h),n valid = 19523; n missing/NA = 383; n excluded (>672 h) = 18,8972 (45.0%),8972 female of 19924 with known sex (0 missing),9.7% of those tested; 8.7% of all admissions,1731 reactive of 17916 tested (not tested: 2004; missing: 4),19924 (100.0% of working sample; 87.3% of total external admissions),External total: 22826 (matched: 20541 + unmatched: 2285)
