description,n,percentage_of_total,Filter_notes
Total SMCH deliveries,66536,100,All SMCH records
Early neonatal deaths (ENND),357,0.5,"neotreeoutcome == ""ENND"""
ENND with valid birthweight (LBW sample size),357,100,is.finite(bw_kg) & bw_kg >= 0.3 kg & bw_kg <= 7.0 kg
Discarded for LBW (Missing/invalid birthweight),0,0,is.finite(bw_kg) & bw_kg >= 0.3 kg & bw_kg <= 7.0 kg
ENND with valid SGA classification,357,100,is.finite(bw_kg) & bw_kg >= 0.3 kg & bw_kg <= 7.0 kg AND !is.na(gestation) & gestation >= 22 wks & gestation <= 42 wks
Discarded for SGA (Missing BW),0,0,Birth weight invalid / missing
Discarded for SGA (Missing GA),0,0,Gestational age invalid / missing
Discarded for SGA (Missing both BW and GA),0,0,Both BW and GA invalid / missing
