category,n,mean_bw_kg,sd_bw_kg,median_bw_kg,min_bw_kg,max_bw_kg,mean_gestation_weeks,sd_gestation_weeks,classification
ELBW,1163,0.7810515907136715,0.16033779666711906,0.8,0.3,0.999,27.28240574506284,3.2891603880085025,Birthweight
VLBW,3615,1.2422450899031812,0.14397267392981802,1.25,1,1.495,30.609744586340923,2.956671648707811,Birthweight
LBW,10185,1.9642920962199315,0.28671531086234503,2,1.5,2.495,34.693961447679044,3.021752703366695,Birthweight
NBW,18846,3.0743703703703704,0.37706969985245703,3,2.5,4,38.718482531591846,1.8208153578680133,Birthweight
HBW,1186,4.354390387858348,0.2683968663163873,4.3,4.001,5.8,39.960304054054056,1.6630930584807875,Birthweight
Term-AGA,3225,3.3613708527131783,0.49235728949101076,3.3,2.4,5.6,39.10288372093024,1.4258538843234454,SGA
Term-SGA,1621,2.519236890808143,0.4241829772269175,2.6,0.3,3.3,39.427452190006164,1.4757940690648161,SGA
Preterm-AGA,2925,1.8487849572649573,0.5771152563069941,1.8,0.57,5,31.791179487179498,2.937032550388496,SGA
Preterm-SGA,1194,1.4258626465661641,0.39418643228577444,1.4,0.39,2.3,32.961892797319926,2.6154156642164357,SGA
