facility,Term-AGA_NND,Term-AGA_DC,Term-SGA_NND,Term-SGA_DC,Preterm-AGA_NND,Preterm-AGA_DC,Preterm-SGA_NND,Preterm-SGA_DC,Discarded_NND,Discarded_DC,Missing BW_NND,Missing BW_DC,Missing GA_NND,Missing GA_DC,Missing both BW and GA_NND,Missing both BW and GA_DC,Total_NND,Total_DC,classification
KCH,25.09,26.41,25.57,25.87,25.39,25.93,25.8,25.88,NA,NA,NA,NA,NA,NA,NA,NA,25.45,26.11,SGA
SMCH,25.56,26.88,24.68,25.77,25.43,26.38,26.17,26.88,NA,NA,NA,NA,NA,NA,NA,NA,25.48,26.51,SGA
