facility,category,comparison,group1,group2,CFR_group1_pct,n_group1,NND_group1,CFR_group2_pct,n_group2,NND_group2,fisher_p_raw,n_pairs_tested,fisher_p_bonferroni,chisq_statistic,chisq_df,chisq_p_value,low_expected_count_warning,exposure_variable,classification
SMCH,ELBW,Steroids Not Used (N) vs. Unsure (U),Steroids Not Used (N),Unsure (U),88.6,273,242,82.5,137,113,0.092238,3,0.276715,2.995,2,0.223693,FALSE,Antenatal Steroids,Birthweight
SMCH,ELBW,Steroids Used (Y) vs. Unsure (U),Steroids Used (Y),Unsure (U),87,46,40,82.5,137,113,0.645867,3,1,2.995,2,0.223693,FALSE,Antenatal Steroids,Birthweight
SMCH,HBW,Steroids Not Used (N) vs. Steroids Used (Y),Steroids Not Used (N),Steroids Used (Y),1.7,595,10,7.7,13,1,0.213174,3,0.639522,6.5213,2,0.038364,TRUE,Antenatal Steroids,Birthweight
SMCH,HBW,Steroids Not Used (N) vs. Unsure (U),Steroids Not Used (N),Unsure (U),1.7,595,10,4.5,198,9,0.030917,3,0.092752,6.5213,2,0.038364,TRUE,Antenatal Steroids,Birthweight
SMCH,HBW,Steroids Used (Y) vs. Unsure (U),Steroids Used (Y),Unsure (U),7.7,13,1,4.5,198,9,0.478144,3,1,6.5213,2,0.038364,TRUE,Antenatal Steroids,Birthweight
SMCH,LBW,Steroids Not Used (N) vs. Steroids Used (Y),Steroids Not Used (N),Steroids Used (Y),19,3369,639,14,420,59,0.013476,3,0.040427,6.3497,2,0.041801,FALSE,Antenatal Steroids,Birthweight
SMCH,LBW,Steroids Not Used (N) vs. Unsure (U),Steroids Not Used (N),Unsure (U),19,3369,639,17.8,1684,300,0.337543,3,1,6.3497,2,0.041801,FALSE,Antenatal Steroids,Birthweight
SMCH,LBW,Steroids Used (Y) vs. Unsure (U),Steroids Used (Y),Unsure (U),14,420,59,17.8,1684,300,0.069953,3,0.209858,6.3497,2,0.041801,FALSE,Antenatal Steroids,Birthweight
SMCH,NBW,Steroids Not Used (N) vs. Steroids Used (Y),Steroids Not Used (N),Steroids Used (Y),8.8,8388,738,7,143,10,0.550908,3,1,7.7965,2,0.020277,FALSE,Antenatal Steroids,Birthweight
SMCH,NBW,Steroids Not Used (N) vs. Unsure (U),Steroids Not Used (N),Unsure (U),8.8,8388,738,10.4,3208,333,0.009809,3,0.029426,7.7965,2,0.020277,FALSE,Antenatal Steroids,Birthweight
SMCH,NBW,Steroids Used (Y) vs. Unsure (U),Steroids Used (Y),Unsure (U),7,143,10,10.4,3208,333,0.257354,3,0.772063,7.7965,2,0.020277,FALSE,Antenatal Steroids,Birthweight
SMCH,VLBW,Steroids Not Used (N) vs. Steroids Used (Y),Steroids Not Used (N),Steroids Used (Y),57.2,755,432,53.8,195,105,0.418216,3,1,0.9411,2,0.624669,FALSE,Antenatal Steroids,Birthweight
SMCH,VLBW,Steroids Not Used (N) vs. Unsure (U),Steroids Not Used (N),Unsure (U),57.2,755,432,55.2,489,270,0.519686,3,1,0.9411,2,0.624669,FALSE,Antenatal Steroids,Birthweight
SMCH,VLBW,Steroids Used (Y) vs. Unsure (U),Steroids Used (Y),Unsure (U),53.8,195,105,55.2,489,270,0.798569,3,1,0.9411,2,0.624669,FALSE,Antenatal Steroids,Birthweight
SMCH,Preterm-AGA,Steroids Not Used (N) vs. Steroids Used (Y),Steroids Not Used (N),Steroids Used (Y),29.4,2515,739,27.8,446,124,0.5341,3,1,0.7249,2,0.695959,FALSE,Antenatal Steroids,SGA
SMCH,Preterm-AGA,Steroids Not Used (N) vs. Unsure (U),Steroids Not Used (N),Unsure (U),29.4,2515,739,28.4,1360,386,0.528562,3,1,0.7249,2,0.695959,FALSE,Antenatal Steroids,SGA
SMCH,Preterm-AGA,Steroids Used (Y) vs. Unsure (U),Steroids Used (Y),Unsure (U),27.8,446,124,28.4,1360,386,0.855764,3,1,0.7249,2,0.695959,FALSE,Antenatal Steroids,SGA
SMCH,Preterm-SGA,Steroids Not Used (N) vs. Steroids Used (Y),Steroids Not Used (N),Steroids Used (Y),35.7,1159,414,36.7,218,80,0.817475,3,1,0.5649,2,0.753941,FALSE,Antenatal Steroids,SGA
SMCH,Preterm-SGA,Steroids Not Used (N) vs. Unsure (U),Steroids Not Used (N),Unsure (U),35.7,1159,414,34.3,682,234,0.544806,3,1,0.5649,2,0.753941,FALSE,Antenatal Steroids,SGA
SMCH,Preterm-SGA,Steroids Used (Y) vs. Unsure (U),Steroids Used (Y),Unsure (U),36.7,218,80,34.3,682,234,0.515167,3,1,0.5649,2,0.753941,FALSE,Antenatal Steroids,SGA
SMCH,Term-AGA,Steroids Not Used (N) vs. Steroids Used (Y),Steroids Not Used (N),Steroids Used (Y),7.5,6307,472,6.6,91,6,1,3,1,6.1635,2,0.045878,FALSE,Antenatal Steroids,SGA
SMCH,Term-AGA,Steroids Not Used (N) vs. Unsure (U),Steroids Not Used (N),Unsure (U),7.5,6307,472,9.1,2312,210,0.016923,3,0.05077,6.1635,2,0.045878,FALSE,Antenatal Steroids,SGA
SMCH,Term-AGA,Steroids Used (Y) vs. Unsure (U),Steroids Used (Y),Unsure (U),6.6,91,6,9.1,2312,210,0.573524,3,1,6.1635,2,0.045878,FALSE,Antenatal Steroids,SGA
SMCH,Term-SGA,Steroids Not Used (N) vs. Steroids Used (Y),Steroids Not Used (N),Steroids Used (Y),12.8,3399,436,8.1,62,5,0.337667,3,1,3.3249,2,0.189672,FALSE,Antenatal Steroids,SGA
SMCH,Term-SGA,Steroids Not Used (N) vs. Unsure (U),Steroids Not Used (N),Unsure (U),12.8,3399,436,14.3,1362,195,0.170562,3,0.511687,3.3249,2,0.189672,FALSE,Antenatal Steroids,SGA
SMCH,Term-SGA,Steroids Used (Y) vs. Unsure (U),Steroids Used (Y),Unsure (U),8.1,62,5,14.3,1362,195,0.193497,3,0.580491,3.3249,2,0.189672,FALSE,Antenatal Steroids,SGA
