scope,sb_scope,comparison,category,reference,n_total,n_outcome,OR,CI_lower,CI_upper,p_value,significant
SMCH,Early stillbirth (22-27+6w),SGA category vs Term-AGA,Preterm-AGA,Term-AGA,63258,606,299118084.096,0,26317856820413247e205,0.9378,No
SMCH,Early stillbirth (22-27+6w),SGA category vs Term-AGA,Preterm-SGA,Term-AGA,63258,606,931329165.824,0,8194315568077616e206,0.9342,No
SMCH,Early stillbirth (22-27+6w),SGA category vs Term-AGA,Term-SGA,Term-AGA,63258,606,1,0,Inf,1,No
SMCH,Early stillbirth (22-27+6w),Preterm vs Term,Preterm,Term,63397,654,467242984.164,0,2345262591763468e170,0.9234,No
Global,Late stillbirth (>=28w),LBW category vs NBW,ELBW,NBW,72077,3089,17.84,15.291,20.814,0,Yes
Global,Late stillbirth (>=28w),LBW category vs NBW,HBW,NBW,72077,3089,1.473,1.096,1.98,0.0103,Yes
Global,Late stillbirth (>=28w),LBW category vs NBW,LBW,NBW,72077,3089,4.143,3.806,4.511,0,Yes
Global,Late stillbirth (>=28w),LBW category vs NBW,VLBW,NBW,72077,3089,12.05,10.695,13.577,0,Yes
Global,Late stillbirth (>=28w),SGA category vs Term-AGA,Preterm-AGA,Term-AGA,70226,3066,5.575,5.068,6.133,0,Yes
Global,Late stillbirth (>=28w),SGA category vs Term-AGA,Preterm-SGA,Term-AGA,70226,3066,14.495,12.98,16.186,0,Yes
Global,Late stillbirth (>=28w),SGA category vs Term-AGA,Term-SGA,Term-AGA,70226,3066,1.577,1.414,1.757,0,Yes
Global,Late stillbirth (>=28w),Preterm vs Term,Preterm,Term,72996,3225,6.165,5.735,6.627,0,Yes
KCH,Late stillbirth (>=28w),LBW category vs NBW,ELBW,NBW,5647,294,6.511,3.902,10.865,0,Yes
KCH,Late stillbirth (>=28w),LBW category vs NBW,HBW,NBW,5647,294,0.53,0.129,2.176,0.3784,No
KCH,Late stillbirth (>=28w),LBW category vs NBW,LBW,NBW,5647,294,2.564,1.929,3.409,0,Yes
KCH,Late stillbirth (>=28w),LBW category vs NBW,VLBW,NBW,5647,294,4.698,3.382,6.528,0,Yes
KCH,Late stillbirth (>=28w),SGA category vs Term-AGA,Preterm-AGA,Term-AGA,4800,292,3.419,2.468,4.737,0,Yes
KCH,Late stillbirth (>=28w),SGA category vs Term-AGA,Preterm-SGA,Term-AGA,4800,292,6.396,4.335,9.437,0,Yes
KCH,Late stillbirth (>=28w),SGA category vs Term-AGA,Term-SGA,Term-AGA,4800,292,1.845,1.145,2.975,0.0119,Yes
KCH,Late stillbirth (>=28w),Preterm vs Term,Preterm,Term,7468,440,3.683,2.957,4.588,0,Yes
SMCH,Late stillbirth (>=28w),LBW category vs NBW,ELBW,NBW,66430,2795,20.35,17.284,23.959,0,Yes
SMCH,Late stillbirth (>=28w),LBW category vs NBW,HBW,NBW,66430,2795,1.584,1.17,2.144,0.0029,Yes
SMCH,Late stillbirth (>=28w),LBW category vs NBW,LBW,NBW,66430,2795,4.401,4.025,4.813,0,Yes
SMCH,Late stillbirth (>=28w),LBW category vs NBW,VLBW,NBW,66430,2795,15.593,13.665,17.792,0,Yes
SMCH,Late stillbirth (>=28w),SGA category vs Term-AGA,Preterm-AGA,Term-AGA,65426,2774,5.96,5.388,6.593,0,Yes
SMCH,Late stillbirth (>=28w),SGA category vs Term-AGA,Preterm-SGA,Term-AGA,65426,2774,15.961,14.216,17.92,0,Yes
SMCH,Late stillbirth (>=28w),SGA category vs Term-AGA,Term-SGA,Term-AGA,65426,2774,1.573,1.407,1.758,0,Yes
SMCH,Late stillbirth (>=28w),Preterm vs Term,Preterm,Term,65528,2785,6.907,6.39,7.466,0,Yes
