facility,year,category,explanation,n,percentage,classification
KCH,2022,ELBW,Included in analysis,17,11.258278145695364,Birthweight
KCH,2022,VLBW,Included in analysis,33,21.85430463576159,Birthweight
KCH,2022,LBW,Included in analysis,55,36.423841059602644,Birthweight
KCH,2022,NBW,Included in analysis,35,23.178807947019866,Birthweight
KCH,2022,Discarded,Missing or invalid birth weight,11,7.28476821192053,Birthweight
KCH,2022,Total,All deliveries considered,151,100,Birthweight
KCH,2023,ELBW,Included in analysis,15,11.363636363636363,Birthweight
KCH,2023,VLBW,Included in analysis,31,23.484848484848484,Birthweight
KCH,2023,LBW,Included in analysis,34,25.757575757575758,Birthweight
KCH,2023,NBW,Included in analysis,37,28.030303030303028,Birthweight
KCH,2023,HBW,Included in analysis,1,0.7575757575757576,Birthweight
KCH,2023,Discarded,Missing or invalid birth weight,14,10.606060606060606,Birthweight
KCH,2023,Total,All deliveries considered,132,100,Birthweight
KCH,2024,ELBW,Included in analysis,7,9.210526315789473,Birthweight
KCH,2024,VLBW,Included in analysis,16,21.052631578947366,Birthweight
KCH,2024,LBW,Included in analysis,24,31.57894736842105,Birthweight
KCH,2024,NBW,Included in analysis,14,18.421052631578945,Birthweight
KCH,2024,HBW,Included in analysis,1,1.3157894736842104,Birthweight
KCH,2024,Discarded,Missing or invalid birth weight,14,18.421052631578945,Birthweight
KCH,2024,Total,All deliveries considered,76,100,Birthweight
KCH,2025,ELBW,Included in analysis,1,0.8064516129032258,Birthweight
KCH,2025,VLBW,Included in analysis,1,0.8064516129032258,Birthweight
KCH,2025,LBW,Included in analysis,1,0.8064516129032258,Birthweight
KCH,2025,NBW,Included in analysis,2,1.6129032258064515,Birthweight
KCH,2025,Discarded,Missing or invalid birth weight,119,95.96774193548387,Birthweight
KCH,2025,Total,All deliveries considered,124,100,Birthweight
SMCH,2022,ELBW,Included in analysis,282,28.059701492537314,Birthweight
SMCH,2022,VLBW,Included in analysis,113,11.243781094527364,Birthweight
SMCH,2022,LBW,Included in analysis,255,25.37313432835821,Birthweight
SMCH,2022,NBW,Included in analysis,325,32.33830845771145,Birthweight
SMCH,2022,HBW,Included in analysis,11,1.0945273631840797,Birthweight
SMCH,2022,Discarded,Missing or invalid birth weight,19,1.8905472636815919,Birthweight
SMCH,2022,Total,All deliveries considered,1005,100,Birthweight
SMCH,2023,ELBW,Included in analysis,179,22.629582806573957,Birthweight
SMCH,2023,VLBW,Included in analysis,115,14.538558786346398,Birthweight
SMCH,2023,LBW,Included in analysis,181,22.88242730720607,Birthweight
SMCH,2023,NBW,Included in analysis,294,37.16814159292036,Birthweight
SMCH,2023,HBW,Included in analysis,13,1.643489254108723,Birthweight
SMCH,2023,Discarded,Missing or invalid birth weight,9,1.1378002528445006,Birthweight
SMCH,2023,Total,All deliveries considered,791,100,Birthweight
SMCH,2024,ELBW,Included in analysis,146,22.22222222222222,Birthweight
SMCH,2024,VLBW,Included in analysis,75,11.415525114155251,Birthweight
SMCH,2024,LBW,Included in analysis,163,24.80974124809741,Birthweight
SMCH,2024,NBW,Included in analysis,249,37.89954337899543,Birthweight
SMCH,2024,HBW,Included in analysis,6,0.91324200913242,Birthweight
SMCH,2024,Discarded,Missing or invalid birth weight,18,2.73972602739726,Birthweight
SMCH,2024,Total,All deliveries considered,657,100,Birthweight
SMCH,2025,ELBW,Included in analysis,145,14.399205561072492,Birthweight
SMCH,2025,VLBW,Included in analysis,146,14.498510427010924,Birthweight
SMCH,2025,LBW,Included in analysis,280,27.805362462760673,Birthweight
SMCH,2025,NBW,Included in analysis,407,40.41708043694141,Birthweight
SMCH,2025,HBW,Included in analysis,16,1.5888778550148956,Birthweight
SMCH,2025,Discarded,Missing or invalid birth weight,13,1.2909632571996028,Birthweight
SMCH,2025,Total,All deliveries considered,1007,100,Birthweight
KCH,2022,Term-AGA,Included in analysis,20,13.245033112582782,SGA
KCH,2022,Term-SGA,Included in analysis,9,5.960264900662252,SGA
KCH,2022,Preterm-AGA,Included in analysis,84,55.62913907284768,SGA
KCH,2022,Preterm-SGA,Included in analysis,26,17.218543046357617,SGA
KCH,2022,Missing BW,Missing BW,11,7.28476821192053,SGA
KCH,2022,Missing GA,Missing GA,1,0.6622516556291391,SGA
KCH,2022,Total,All deliveries considered,151,100,SGA
KCH,2023,Term-AGA,Included in analysis,22,16.666666666666664,SGA
KCH,2023,Term-SGA,Included in analysis,12,9.090909090909092,SGA
KCH,2023,Preterm-AGA,Included in analysis,59,44.696969696969695,SGA
KCH,2023,Preterm-SGA,Included in analysis,25,18.939393939393938,SGA
KCH,2023,Missing BW,Missing BW,14,10.606060606060606,SGA
KCH,2023,Total,All deliveries considered,132,100,SGA
KCH,2024,Term-AGA,Included in analysis,6,7.894736842105263,SGA
KCH,2024,Term-SGA,Included in analysis,5,6.578947368421052,SGA
KCH,2024,Preterm-AGA,Included in analysis,32,42.10526315789473,SGA
KCH,2024,Preterm-SGA,Included in analysis,18,23.684210526315788,SGA
KCH,2024,Missing BW,Missing BW,14,18.421052631578945,SGA
KCH,2024,Missing GA,Missing GA,1,1.3157894736842104,SGA
KCH,2024,Total,All deliveries considered,76,100,SGA
KCH,2025,Term-AGA,Included in analysis,2,1.6129032258064515,SGA
KCH,2025,Term-SGA,Included in analysis,1,0.8064516129032258,SGA
KCH,2025,Preterm-AGA,Included in analysis,1,0.8064516129032258,SGA
KCH,2025,Preterm-SGA,Included in analysis,1,0.8064516129032258,SGA
KCH,2025,Missing BW,Missing BW,118,95.16129032258065,SGA
KCH,2025,Missing both BW and GA,Missing both BW and GA,1,0.8064516129032258,SGA
KCH,2025,Total,All deliveries considered,124,100,SGA
SMCH,2022,Term-AGA,Included in analysis,204,20.298507462686565,SGA
SMCH,2022,Term-SGA,Included in analysis,156,15.522388059701491,SGA
SMCH,2022,Preterm-AGA,Included in analysis,329,32.7363184079602,SGA
SMCH,2022,Preterm-SGA,Included in analysis,295,29.35323383084577,SGA
SMCH,2022,Missing BW,Missing BW,19,1.8905472636815919,SGA
SMCH,2022,Missing GA,Missing GA,2,0.1990049751243781,SGA
SMCH,2022,Total,All deliveries considered,1005,100,SGA
SMCH,2023,Term-AGA,Included in analysis,177,22.376738305941846,SGA
SMCH,2023,Term-SGA,Included in analysis,114,14.412136536030342,SGA
SMCH,2023,Preterm-AGA,Included in analysis,278,35.145385587863466,SGA
