facility,category,explanation,n,percentage,classification
KCH,ELBW,Included in analysis,51,11.670480549199084,Birthweight
KCH,VLBW,Included in analysis,110,25.171624713958813,Birthweight
KCH,LBW,Included in analysis,160,36.61327231121281,Birthweight
KCH,NBW,Included in analysis,111,25.400457665903893,Birthweight
KCH,HBW,Included in analysis,5,1.1441647597254003,Birthweight
KCH,Total,All deliveries considered,437,100,Birthweight
SMCH,ELBW,Included in analysis,752,22.24852071005917,Birthweight
SMCH,VLBW,Included in analysis,449,13.284023668639053,Birthweight
SMCH,LBW,Included in analysis,878,25.976331360946748,Birthweight
SMCH,NBW,Included in analysis,1255,37.1301775147929,Birthweight
SMCH,HBW,Included in analysis,46,1.36094674556213,Birthweight
SMCH,Total,All deliveries considered,3380,100,Birthweight
KCH,Term-AGA,Included in analysis,65,14.874141876430205,SGA
KCH,Term-SGA,Included in analysis,37,8.466819221967963,SGA
KCH,Preterm-AGA,Included in analysis,241,55.1487414187643,SGA
KCH,Preterm-SGA,Included in analysis,94,21.51029748283753,SGA
KCH,Total,All deliveries considered,437,100,SGA
SMCH,Term-AGA,Included in analysis,764,22.60355029585799,SGA
SMCH,Term-SGA,Included in analysis,541,16.005917159763314,SGA
SMCH,Preterm-AGA,Included in analysis,1181,34.94082840236686,SGA
SMCH,Preterm-SGA,Included in analysis,894,26.449704142011832,SGA
SMCH,Total,All deliveries considered,3380,100,SGA
