facility,category,comparison,group1,group2,CFR_group1_pct,n_group1,NND_group1,CFR_group2_pct,n_group2,NND_group2,fisher_p_raw,n_pairs_tested,fisher_p_bonferroni,chisq_statistic,chisq_df,chisq_p_value,low_expected_count_warning,exposure_variable,classification
SMCH,NBW,Steroids Not Used (N) vs. Steroids Used (Y),Steroids Not Used (N),Steroids Used (Y),16,150,24,8.3,12,1,0.693853,3,1,0.8285,2,0.660822,TRUE,Antenatal Steroids,Birthweight
SMCH,NBW,Steroids Not Used (N) vs. Unsure (U),Steroids Not Used (N),Unsure (U),16,150,24,18.6,70,13,0.699532,3,1,0.8285,2,0.660822,TRUE,Antenatal Steroids,Birthweight
SMCH,NBW,Steroids Used (Y) vs. Unsure (U),Steroids Used (Y),Unsure (U),8.3,12,1,18.6,70,13,0.68064,3,1,0.8285,2,0.660822,TRUE,Antenatal Steroids,Birthweight
SMCH,VLBW,Steroids Not Used (N) vs. Steroids Used (Y),Steroids Not Used (N),Steroids Used (Y),58.7,676,397,54.5,189,103,0.317811,3,0.953434,1.1392,2,0.565741,FALSE,Antenatal Steroids,Birthweight
SMCH,VLBW,Steroids Not Used (N) vs. Unsure (U),Steroids Not Used (N),Unsure (U),58.7,676,397,57.1,436,249,0.618645,3,1,1.1392,2,0.565741,FALSE,Antenatal Steroids,Birthweight
SMCH,VLBW,Steroids Used (Y) vs. Unsure (U),Steroids Used (Y),Unsure (U),54.5,189,103,57.1,436,249,0.598427,3,1,1.1392,2,0.565741,FALSE,Antenatal Steroids,Birthweight
SMCH,Preterm-AGA,Steroids Not Used (N) vs. Steroids Used (Y),Steroids Not Used (N),Steroids Used (Y),37.1,1710,635,29.8,403,120,0.00554,3,0.016621,8.8202,2,0.012154,FALSE,Antenatal Steroids,SGA
SMCH,Preterm-AGA,Steroids Not Used (N) vs. Unsure (U),Steroids Not Used (N),Unsure (U),37.1,1710,635,33.8,999,338,0.088839,3,0.266516,8.8202,2,0.012154,FALSE,Antenatal Steroids,SGA
SMCH,Preterm-AGA,Steroids Used (Y) vs. Unsure (U),Steroids Used (Y),Unsure (U),29.8,403,120,33.8,999,338,0.148264,3,0.444792,8.8202,2,0.012154,FALSE,Antenatal Steroids,SGA
SMCH,Preterm-SGA,Steroids Not Used (N) vs. Steroids Used (Y),Steroids Not Used (N),Steroids Used (Y),51.6,564,291,44,168,74,0.095011,3,0.285032,5.341,2,0.069217,FALSE,Antenatal Steroids,SGA
SMCH,Preterm-SGA,Steroids Not Used (N) vs. Unsure (U),Steroids Not Used (N),Unsure (U),51.6,564,291,45,378,170,0.053772,3,0.161317,5.341,2,0.069217,FALSE,Antenatal Steroids,SGA
SMCH,Preterm-SGA,Steroids Used (Y) vs. Unsure (U),Steroids Used (Y),Unsure (U),44,168,74,45,378,170,0.852584,3,1,5.341,2,0.069217,FALSE,Antenatal Steroids,SGA
