category,explanation,n,percentage,classification
ELBW,Included in analysis,57,15.405405405405407,Birthweight
VLBW,Included in analysis,11,2.9729729729729732,Birthweight
LBW,Included in analysis,51,13.783783783783784,Birthweight
NBW,Included in analysis,243,65.67567567567568,Birthweight
HBW,Included in analysis,6,1.6216216216216217,Birthweight
Discarded,Missing or invalid birth weight,2,0.5405405405405406,Birthweight
Total,All deliveries considered,370,100,Birthweight
Term-AGA,Included in analysis,167,45.13513513513514,SGA
Term-SGA,Included in analysis,95,25.675675675675674,SGA
Preterm-AGA,Included in analysis,52,14.054054054054054,SGA
Preterm-SGA,Included in analysis,43,11.621621621621623,SGA
Missing BW,Missing BW,1,0.2702702702702703,SGA
Missing GA,Missing GA,11,2.9729729729729732,SGA
Missing both BW and GA,Missing both BW and GA,1,0.2702702702702703,SGA
Total,All deliveries considered,370,100,SGA
