year,category,explanation,n,percentage,classification
2022,ELBW,Included in analysis,11,25,Birthweight
2022,VLBW,Included in analysis,1,2.272727272727273,Birthweight
2022,LBW,Included in analysis,6,13.636363636363635,Birthweight
2022,NBW,Included in analysis,24,54.54545454545454,Birthweight
2022,HBW,Included in analysis,1,2.272727272727273,Birthweight
2022,Discarded,Missing or invalid birth weight,1,2.272727272727273,Birthweight
2022,Total,All deliveries considered,44,100,Birthweight
2023,ELBW,Included in analysis,14,13.861386138613863,Birthweight
2023,VLBW,Included in analysis,4,3.9603960396039604,Birthweight
2023,LBW,Included in analysis,13,12.871287128712872,Birthweight
2023,NBW,Included in analysis,67,66.33663366336634,Birthweight
2023,HBW,Included in analysis,2,1.9801980198019802,Birthweight
2023,Discarded,Missing or invalid birth weight,1,0.9900990099009901,Birthweight
2023,Total,All deliveries considered,101,100,Birthweight
2024,ELBW,Included in analysis,11,16.666666666666664,Birthweight
2024,VLBW,Included in analysis,2,3.0303030303030303,Birthweight
2024,LBW,Included in analysis,7,10.606060606060606,Birthweight
2024,NBW,Included in analysis,45,68.18181818181817,Birthweight
2024,HBW,Included in analysis,1,1.5151515151515151,Birthweight
2024,Total,All deliveries considered,66,100,Birthweight
2025,ELBW,Included in analysis,21,13.20754716981132,Birthweight
2025,VLBW,Included in analysis,4,2.515723270440252,Birthweight
2025,LBW,Included in analysis,25,15.723270440251572,Birthweight
2025,NBW,Included in analysis,107,67.29559748427673,Birthweight
2025,HBW,Included in analysis,2,1.257861635220126,Birthweight
2025,Total,All deliveries considered,159,100,Birthweight
2022,Term-AGA,Included in analysis,16,36.36363636363637,SGA
2022,Term-SGA,Included in analysis,15,34.090909090909086,SGA
2022,Preterm-AGA,Included in analysis,6,13.636363636363635,SGA
2022,Preterm-SGA,Included in analysis,4,9.090909090909092,SGA
2022,Missing GA,Missing GA,2,4.545454545454546,SGA
2022,Missing both BW and GA,Missing both BW and GA,1,2.272727272727273,SGA
2022,Total,All deliveries considered,44,100,SGA
2023,Term-AGA,Included in analysis,49,48.51485148514851,SGA
2023,Term-SGA,Included in analysis,22,21.782178217821784,SGA
2023,Preterm-AGA,Included in analysis,14,13.861386138613863,SGA
2023,Preterm-SGA,Included in analysis,11,10.891089108910892,SGA
2023,Missing BW,Missing BW,1,0.9900990099009901,SGA
2023,Missing GA,Missing GA,4,3.9603960396039604,SGA
2023,Total,All deliveries considered,101,100,SGA
2024,Term-AGA,Included in analysis,33,50,SGA
2024,Term-SGA,Included in analysis,18,27.27272727272727,SGA
2024,Preterm-AGA,Included in analysis,5,7.575757575757576,SGA
2024,Preterm-SGA,Included in analysis,8,12.121212121212121,SGA
2024,Missing GA,Missing GA,2,3.0303030303030303,SGA
2024,Total,All deliveries considered,66,100,SGA
2025,Term-AGA,Included in analysis,69,43.39622641509434,SGA
2025,Term-SGA,Included in analysis,40,25.157232704402517,SGA
2025,Preterm-AGA,Included in analysis,27,16.9811320754717,SGA
2025,Preterm-SGA,Included in analysis,20,12.578616352201259,SGA
2025,Missing GA,Missing GA,3,1.8867924528301887,SGA
2025,Total,All deliveries considered,159,100,SGA
