facility,ELBW_NND,ELBW_DC,VLBW_NND,VLBW_DC,LBW_NND,LBW_DC,NBW_NND,NBW_DC,HBW_NND,HBW_DC,Discarded_NND,Discarded_DC,Missing BW_NND,Missing BW_DC,Missing GA_NND,Missing GA_DC,Missing both BW and GA_NND,Missing both BW and GA_DC,Total_NND,Total_DC,classification
KCH,35.07,35.75,35.53,35.85,36.01,36.21,36.34,36.64,36.5,36.84,35.23,36.01,NA,NA,NA,NA,NA,NA,35.62,36.3,Birthweight
SMCH,36.19,36.58,36.45,36.51,36.59,36.73,36.68,36.88,36.87,36.85,36.16,36.85,NA,NA,NA,NA,NA,NA,36.53,36.82,Birthweight
