facility,Term-AGA_NND,Term-AGA_DC,Term-SGA_NND,Term-SGA_DC,Preterm-AGA_NND,Preterm-AGA_DC,Preterm-SGA_NND,Preterm-SGA_DC,Discarded_NND,Discarded_DC,Missing BW_NND,Missing BW_DC,Missing GA_NND,Missing GA_DC,Missing both BW and GA_NND,Missing both BW and GA_DC,Total_NND,Total_DC,classification
KCH,36.42,36.69,35.85,36.4,35.59,36.16,35.5,35.97,NA,NA,35.23,36.01,34.1,36.94,NA,NA,35.62,36.3,SGA
SMCH,36.68,36.88,36.64,36.83,36.47,36.73,36.49,36.67,NA,NA,36.09,36.84,36.04,36.79,37,37.05,36.53,36.82,SGA
