category,n,percentage,classification
ELBW,827,2.7252356158966586,Birthweight
VLBW,3169,10.442891979173533,Birthweight
LBW,9000,29.657945033941868,Birthweight
NBW,16363,53.921439398932314,Birthweight
HBW,987,3.2524879720556252,Birthweight
Term-AGA,12462,41.06636789033151,SGA
Term-SGA,6213,20.47386805509787,SGA
Preterm-AGA,7985,26.313187899558425,SGA
Preterm-SGA,3686,12.146576155012193,SGA
