category,n,mean_bw_kg,sd_bw_kg,median_bw_kg,min_bw_kg,max_bw_kg,mean_gestation_weeks,sd_gestation_weeks,classification
ELBW,827,0.8030532043530834,0.14643409403928018,0.83,0.3,0.999,27.769770253929867,3.2039330128807295,Birthweight
VLBW,3169,1.2452272010097822,0.14443236203078222,1.26,1,1.495,30.67204165351846,2.884267172875469,Birthweight
LBW,9000,1.9634531111111113,0.28617364844326604,2,1.5,2.495,34.67773333333332,2.97541875440835,Birthweight
NBW,16363,3.073410988205097,0.37575152312751303,3,2.5,4,38.642852777608056,1.7356813176661212,Birthweight
HBW,987,4.352432624113475,0.2617650423433305,4.3,4.003,5.6,39.80536980749747,1.5101554599461422,Birthweight
Term-AGA,12462,3.2863671962766823,0.4649850651391835,3.2,2.4,5.6,38.77615150056168,1.3504433767085815,SGA
Term-SGA,6213,2.4675160148076616,0.42427821547913713,2.5,0.3,3.3,39.15467568002576,1.4345181591463896,SGA
Preterm-AGA,7985,1.9073542892924238,0.6115460546789924,1.86,0.55,5,31.90234189104569,3.099009276013105,SGA
Preterm-SGA,3686,1.4519245794899618,0.3907985600373898,1.45,0.3,2.3,33.26890938686924,2.5894471686591243,SGA
