facility,ELBW_NND,ELBW_DC,VLBW_NND,VLBW_DC,LBW_NND,LBW_DC,NBW_NND,NBW_DC,HBW_NND,HBW_DC,Discarded_NND,Discarded_DC,Missing BW_NND,Missing BW_DC,Missing GA_NND,Missing GA_DC,Missing both BW and GA_NND,Missing both BW and GA_DC,Total_NND,Total_DC,classification
KCH,26.16,26.33,25.59,25.98,25.28,25.9,25.03,26.17,28.91,28.96,NA,NA,NA,NA,NA,NA,NA,NA,25.45,26.11,Birthweight
SMCH,25.81,27.63,25.78,26.73,25.28,26.37,25.17,26.36,32.28,29.13,NA,NA,NA,NA,NA,NA,NA,NA,25.48,26.51,Birthweight
