facility,year,category,explanation,n,percentage,classification
KCH,2022,ELBW,Included in analysis,51,2.7612344342176502,Birthweight
KCH,2022,VLBW,Included in analysis,225,12.181916621548456,Birthweight
KCH,2022,LBW,Included in analysis,583,31.564699512723337,Birthweight
KCH,2022,NBW,Included in analysis,957,51.813752030319435,Birthweight
KCH,2022,HBW,Included in analysis,31,1.678397401191121,Birthweight
KCH,2022,Total,All deliveries considered,1847,100,Birthweight
KCH,2023,ELBW,Included in analysis,60,3.387916431394692,Birthweight
KCH,2023,VLBW,Included in analysis,194,10.954263128176171,Birthweight
KCH,2023,LBW,Included in analysis,524,29.587803500846977,Birthweight
KCH,2023,NBW,Included in analysis,949,53.58554488989271,Birthweight
KCH,2023,HBW,Included in analysis,44,2.484472049689441,Birthweight
KCH,2023,Total,All deliveries considered,1771,100,Birthweight
KCH,2024,ELBW,Included in analysis,40,2.7874564459930316,Birthweight
KCH,2024,VLBW,Included in analysis,140,9.75609756097561,Birthweight
KCH,2024,LBW,Included in analysis,403,28.08362369337979,Birthweight
KCH,2024,NBW,Included in analysis,820,57.14285714285714,Birthweight
KCH,2024,HBW,Included in analysis,32,2.229965156794425,Birthweight
KCH,2024,Total,All deliveries considered,1435,100,Birthweight
KCH,2025,ELBW,Included in analysis,44,1.9590382902938557,Birthweight
KCH,2025,VLBW,Included in analysis,187,8.325912733748888,Birthweight
KCH,2025,LBW,Included in analysis,643,28.628673196794303,Birthweight
KCH,2025,NBW,Included in analysis,1330,59.21638468388246,Birthweight
KCH,2025,HBW,Included in analysis,42,1.8699910952804988,Birthweight
KCH,2025,Total,All deliveries considered,2246,100,Birthweight
SMCH,2022,ELBW,Included in analysis,425,2.603847567700037,Birthweight
SMCH,2022,VLBW,Included in analysis,413,2.5303271657885062,Birthweight
SMCH,2022,LBW,Included in analysis,2813,17.234407548094595,Birthweight
SMCH,2022,NBW,Included in analysis,12407,76.0139688763632,Birthweight
SMCH,2022,HBW,Included in analysis,264,1.61744884205367,Birthweight
SMCH,2022,Total,All deliveries considered,16322,100,Birthweight
SMCH,2023,ELBW,Included in analysis,296,1.9730702572990269,Birthweight
SMCH,2023,VLBW,Included in analysis,344,2.2930275963204902,Birthweight
SMCH,2023,LBW,Included in analysis,1841,12.271697107052393,Birthweight
SMCH,2023,NBW,Included in analysis,12233,81.5424610051993,Birthweight
SMCH,2023,HBW,Included in analysis,288,1.9197440341287828,Birthweight
SMCH,2023,Total,All deliveries considered,15002,100,Birthweight
SMCH,2024,ELBW,Included in analysis,247,2.007640412907421,Birthweight
SMCH,2024,VLBW,Included in analysis,226,1.8369503373161018,Birthweight
SMCH,2024,LBW,Included in analysis,1459,11.858896204177844,Birthweight
SMCH,2024,NBW,Included in analysis,10148,82.48394700479558,Birthweight
SMCH,2024,HBW,Included in analysis,223,1.8125660408030562,Birthweight
SMCH,2024,Total,All deliveries considered,12303,100,Birthweight
SMCH,2025,ELBW,Included in analysis,429,1.8726264786765028,Birthweight
SMCH,2025,VLBW,Included in analysis,472,2.060325636212842,Birthweight
SMCH,2025,LBW,Included in analysis,2917,12.732987035662841,Birthweight
SMCH,2025,NBW,Included in analysis,18688,81.5749268846305,Birthweight
SMCH,2025,HBW,Included in analysis,403,1.7591339648173208,Birthweight
SMCH,2025,Total,All deliveries considered,22909,100,Birthweight
KCH,2022,Term-AGA,Included in analysis,683,36.97888467785598,SGA
KCH,2022,Term-SGA,Included in analysis,226,12.236058473199783,SGA
KCH,2022,Preterm-AGA,Included in analysis,747,40.44396318354087,SGA
KCH,2022,Preterm-SGA,Included in analysis,191,10.341093665403358,SGA
KCH,2022,Total,All deliveries considered,1847,100,SGA
KCH,2023,Term-AGA,Included in analysis,741,41.84076792772445,SGA
KCH,2023,Term-SGA,Included in analysis,217,12.25296442687747,SGA
KCH,2023,Preterm-AGA,Included in analysis,660,37.267080745341616,SGA
KCH,2023,Preterm-SGA,Included in analysis,153,8.639186900056465,SGA
KCH,2023,Total,All deliveries considered,1771,100,SGA
KCH,2024,Term-AGA,Included in analysis,607,42.29965156794425,SGA
KCH,2024,Term-SGA,Included in analysis,165,11.498257839721255,SGA
KCH,2024,Preterm-AGA,Included in analysis,550,38.32752613240418,SGA
KCH,2024,Preterm-SGA,Included in analysis,113,7.874564459930314,SGA
KCH,2024,Total,All deliveries considered,1435,100,SGA
KCH,2025,Term-AGA,Included in analysis,1004,44.701691896705256,SGA
KCH,2025,Term-SGA,Included in analysis,287,12.778272484416743,SGA
KCH,2025,Preterm-AGA,Included in analysis,812,36.15316117542298,SGA
KCH,2025,Preterm-SGA,Included in analysis,143,6.366874443455031,SGA
KCH,2025,Total,All deliveries considered,2246,100,SGA
SMCH,2022,Term-AGA,Included in analysis,8541,52.3281460605318,SGA
SMCH,2022,Term-SGA,Included in analysis,4639,28.421762038965813,SGA
SMCH,2022,Preterm-AGA,Included in analysis,2291,14.036270064943022,SGA
SMCH,2022,Preterm-SGA,Included in analysis,851,5.213821835559368,SGA
SMCH,2022,Total,All deliveries considered,16322,100,SGA
SMCH,2023,Term-AGA,Included in analysis,8946,59.63204906012531,SGA
SMCH,2023,Term-SGA,Included in analysis,3580,23.863484868684175,SGA
SMCH,2023,Preterm-AGA,Included in analysis,1813,12.085055325956539,SGA
SMCH,2023,Preterm-SGA,Included in analysis,663,4.419410745233969,SGA
SMCH,2023,Total,All deliveries considered,15002,100,SGA
SMCH,2024,Term-AGA,Included in analysis,7351,59.7496545557994,SGA
SMCH,2024,Term-SGA,Included in analysis,3023,24.57124278631228,SGA
SMCH,2024,Preterm-AGA,Included in analysis,1454,11.818255709989433,SGA
SMCH,2024,Preterm-SGA,Included in analysis,475,3.860846947898886,SGA
SMCH,2024,Total,All deliveries considered,12303,100,SGA
SMCH,2025,Term-AGA,Included in analysis,13210,57.66292723383823,SGA
SMCH,2025,Term-SGA,Included in analysis,6106,26.6532803701602,SGA
SMCH,2025,Preterm-AGA,Included in analysis,2701,11.79012615129425,SGA
SMCH,2025,Preterm-SGA,Included in analysis,892,3.8936662447073203,SGA
SMCH,2025,Total,All deliveries considered,22909,100,SGA
