facility,season,category,explanation,n,percentage,classification
SMCH,Cool and wet,Term-SGA,Included in analysis,2936,28.2,SGA
SMCH,Cool and wet,Preterm-AGA,Included in analysis,1314,12.6,SGA
SMCH,Cool and wet,Preterm-SGA,Included in analysis,438,4.2,SGA
SMCH,Cool and wet,Total,All deliveries considered,10401,100,SGA
SMCH,Cool and dry,Term-AGA,Included in analysis,7604,57.9,SGA
SMCH,Cool and dry,Term-SGA,Included in analysis,3332,25.3,SGA
SMCH,Cool and dry,Preterm-AGA,Included in analysis,1634,12.4,SGA
SMCH,Cool and dry,Preterm-SGA,Included in analysis,574,4.4,SGA
SMCH,Cool and dry,Total,All deliveries considered,13144,100,SGA
SMCH,Warm and dry,Term-AGA,Included in analysis,3485,59.7,SGA
SMCH,Warm and dry,Term-SGA,Included in analysis,1411,24.2,SGA
SMCH,Warm and dry,Preterm-AGA,Included in analysis,713,12.2,SGA
SMCH,Warm and dry,Preterm-SGA,Included in analysis,232,4,SGA
SMCH,Warm and dry,Total,All deliveries considered,5841,100,SGA
SMCH,Hot and dry,Term-AGA,Included in analysis,7031,59.6,SGA
SMCH,Hot and dry,Term-SGA,Included in analysis,2899,24.6,SGA
SMCH,Hot and dry,Preterm-AGA,Included in analysis,1380,11.7,SGA
SMCH,Hot and dry,Preterm-SGA,Included in analysis,488,4.1,SGA
SMCH,Hot and dry,Total,All deliveries considered,11798,100,SGA
