facility,classification,category,exposure_variable,comparison,group1,group2,n_group1,NND_group1,CFR_group1_pct,n_group2,NND_group2,CFR_group2_pct,chisq_statistic,chisq_df,chisq_p_value,fisher_p_raw,n_pairs_tested,fisher_p_bonferroni,low_expected_count_warning
SMCH,Birthweight,ELBW,Antenatal Steroids,Steroids Not Used (N) vs. Unsure (U),Steroids Not Used (N),Unsure (U),273,242,88.6,137,113,82.5,2.995,2,0.223693,0.092238,3,0.276715,FALSE
SMCH,Birthweight,ELBW,Antenatal Steroids,Steroids Used (Y) vs. Unsure (U),Steroids Used (Y),Unsure (U),46,40,87,137,113,82.5,2.995,2,0.223693,0.645867,3,1,FALSE
SMCH,Birthweight,HBW,Antenatal Steroids,Steroids Not Used (N) vs. Steroids Used (Y),Steroids Not Used (N),Steroids Used (Y),595,10,1.7,13,1,7.7,6.5213,2,0.038364,0.213174,3,0.639522,TRUE
SMCH,Birthweight,HBW,Antenatal Steroids,Steroids Not Used (N) vs. Unsure (U),Steroids Not Used (N),Unsure (U),595,10,1.7,198,9,4.5,6.5213,2,0.038364,0.030917,3,0.092752,TRUE
SMCH,Birthweight,HBW,Antenatal Steroids,Steroids Used (Y) vs. Unsure (U),Steroids Used (Y),Unsure (U),13,1,7.7,198,9,4.5,6.5213,2,0.038364,0.478144,3,1,TRUE
SMCH,Birthweight,LBW,Antenatal Steroids,Steroids Not Used (N) vs. Steroids Used (Y),Steroids Not Used (N),Steroids Used (Y),3369,639,19,420,59,14,6.3497,2,0.041801,0.013476,3,0.040427,FALSE
SMCH,Birthweight,LBW,Antenatal Steroids,Steroids Not Used (N) vs. Unsure (U),Steroids Not Used (N),Unsure (U),3369,639,19,1684,300,17.8,6.3497,2,0.041801,0.337543,3,1,FALSE
SMCH,Birthweight,LBW,Antenatal Steroids,Steroids Used (Y) vs. Unsure (U),Steroids Used (Y),Unsure (U),420,59,14,1684,300,17.8,6.3497,2,0.041801,0.069953,3,0.209858,FALSE
SMCH,Birthweight,NBW,Antenatal Steroids,Steroids Not Used (N) vs. Steroids Used (Y),Steroids Not Used (N),Steroids Used (Y),8388,738,8.8,143,10,7,7.7965,2,0.020277,0.550908,3,1,FALSE
SMCH,Birthweight,NBW,Antenatal Steroids,Steroids Not Used (N) vs. Unsure (U),Steroids Not Used (N),Unsure (U),8388,738,8.8,3208,333,10.4,7.7965,2,0.020277,0.009809,3,0.029426,FALSE
SMCH,Birthweight,NBW,Antenatal Steroids,Steroids Used (Y) vs. Unsure (U),Steroids Used (Y),Unsure (U),143,10,7,3208,333,10.4,7.7965,2,0.020277,0.257354,3,0.772063,FALSE
