facility,Term-AGA_NND,Term-AGA_DC,Term-SGA_NND,Term-SGA_DC,Preterm-AGA_NND,Preterm-AGA_DC,Preterm-SGA_NND,Preterm-SGA_DC,Discarded_NND,Discarded_DC,Missing BW_NND,Missing BW_DC,Missing GA_NND,Missing GA_DC,Missing both BW and GA_NND,Missing both BW and GA_DC,Total_NND,Total_DC,classification
KCH,36.37,36.7,35.84,36.4,35.57,36.16,35.48,35.98,NA,NA,NA,NA,NA,NA,NA,NA,35.61,36.3,SGA
SMCH,36.69,36.88,36.64,36.83,36.47,36.72,36.5,36.66,NA,NA,NA,NA,NA,NA,NA,NA,36.55,36.82,SGA
