scope,classification,season,category,observed,expected,std_residual,direction
KCH,SGA,Cool and wet,Preterm-SGA,72,91,-2.257,Less than expected
KCH,SGA,Cool and dry,Preterm-SGA,156,161.3,-0.508,As expected
KCH,SGA,Warm and dry,Preterm-SGA,51,60.4,-1.334,As expected
KCH,SGA,Hot and dry,Preterm-SGA,86,82.4,0.45,As expected
SMCH,Birthweight,Warm and wet,ELBW,553,532.3,1.153,As expected
SMCH,Birthweight,Cool and wet,ELBW,224,218.4,0.418,As expected
SMCH,Birthweight,Cool and dry,ELBW,269,276,-0.474,As expected
SMCH,Birthweight,Warm and dry,ELBW,120,122.6,-0.252,As expected
SMCH,Birthweight,Hot and dry,ELBW,231,247.7,-1.183,As expected
SMCH,Birthweight,Warm and wet,VLBW,555,554.4,0.033,As expected
SMCH,Birthweight,Cool and wet,VLBW,223,227.4,-0.325,As expected
SMCH,Birthweight,Cool and dry,VLBW,290,287.4,0.171,As expected
SMCH,Birthweight,Warm and dry,VLBW,116,127.7,-1.099,As expected
SMCH,Birthweight,Hot and dry,VLBW,271,258,0.902,As expected
SMCH,Birthweight,Warm and wet,LBW,3579,3440.7,3.224,More than expected
SMCH,Birthweight,Cool and wet,LBW,1551,1411.6,4.346,More than expected
SMCH,Birthweight,Cool and dry,LBW,1757,1783.9,-0.763,As expected
SMCH,Birthweight,Warm and dry,LBW,732,792.7,-2.429,Less than expected
SMCH,Birthweight,Hot and dry,LBW,1411,1601.2,-5.636,Less than expected
SMCH,Birthweight,Warm and wet,NBW,20235,20375.8,-2.83,Less than expected
SMCH,Birthweight,Cool and wet,NBW,8255,8359.4,-2.807,Less than expected
SMCH,Birthweight,Cool and dry,NBW,10587,10564,0.563,As expected
SMCH,Birthweight,Warm and dry,NBW,4732,4694.5,1.293,As expected
SMCH,Birthweight,Hot and dry,NBW,9667,9482.2,4.722,More than expected
SMCH,Birthweight,Warm and wet,HBW,430,448.8,-1.141,As expected
SMCH,Birthweight,Cool and wet,HBW,148,184.1,-2.926,Less than expected
SMCH,Birthweight,Cool and dry,HBW,241,232.7,0.612,As expected
SMCH,Birthweight,Warm and dry,HBW,141,103.4,3.905,More than expected
SMCH,Birthweight,Hot and dry,HBW,218,208.9,0.702,As expected
SMCH,SGA,Warm and wet,Term-AGA,14215,14497.3,-4.555,Less than expected
SMCH,SGA,Cool and wet,Term-AGA,5713,5947.7,-5.064,Less than expected
SMCH,SGA,Cool and dry,Term-AGA,7604,7516.3,1.726,As expected
SMCH,SGA,Warm and dry,Term-AGA,3485,3340.1,4.011,More than expected
SMCH,SGA,Hot and dry,Term-AGA,7031,6746.6,5.834,More than expected
SMCH,SGA,Warm and wet,Term-SGA,6770,6610.1,2.908,More than expected
SMCH,SGA,Cool and wet,Term-SGA,2936,2711.9,5.45,More than expected
SMCH,SGA,Cool and dry,Term-SGA,3332,3427,-2.108,Less than expected
SMCH,SGA,Warm and dry,Term-SGA,1411,1522.9,-3.493,Less than expected
SMCH,SGA,Hot and dry,Term-SGA,2899,3076.1,-4.095,Less than expected
SMCH,SGA,Warm and wet,Preterm-AGA,3218,3146.9,1.721,As expected
SMCH,SGA,Cool and wet,Preterm-AGA,1314,1291.1,0.743,As expected
SMCH,SGA,Cool and dry,Preterm-AGA,1634,1631.5,0.073,As expected
SMCH,SGA,Warm and dry,Preterm-AGA,713,725,-0.5,As expected
SMCH,SGA,Hot and dry,Preterm-AGA,1380,1464.5,-2.6,Less than expected
SMCH,SGA,Warm and wet,Preterm-SGA,1149,1097.7,2.011,More than expected
SMCH,SGA,Cool and wet,Preterm-SGA,438,450.4,-0.648,As expected
SMCH,SGA,Cool and dry,Preterm-SGA,574,569.1,0.233,As expected
SMCH,SGA,Warm and dry,Preterm-SGA,232,252.9,-1.408,As expected
SMCH,SGA,Hot and dry,Preterm-SGA,488,510.9,-1.14,As expected
