description,n,pct_of_total,Filter_notes
Total admissions,30346,100,NA
Inborn,20860,68.7,"toupper(inorout) == ""TRUE"""
Outborn,9485,31.3,"toupper(inorout) == ""FALSE"""
Unknown inborn/outborn status,1,0,"NOT (toupper(inorout) == ""TRUE"" | toupper(inorout) == ""FALSE"")"
Records with valid birthweight (LBW sample),30346,100,is.finite(bw_kg) & bw_kg >= 0.3 kg & bw_kg <= 7.0 kg
Discarded for LBW (missing/invalid birthweight),0,0,NOT (is.finite(bw_kg) & bw_kg >= 0.3 kg & bw_kg <= 7.0 kg)
Records with valid SGA classification,30346,100,is.finite(bw_kg) & bw_kg >= 0.3 kg & bw_kg <= 7.0 kg AND !is.na(gestation) & gestation >= 24 wks & gestation <= 42 wks AND !is.na(sga_category)
Discarded for SGA (Missing BW),0,0,Invalid/missing birth weight
Discarded for SGA (Missing GA),0,0,Invalid/missing gestational age
Discarded for SGA (Missing both BW and GA),0,0,Both BW and GA invalid/missing
